Inicio
Natsu Dragneel
Lucy Heartfilia
Erza Scarlet
Gray Fullbuster
Mavis Vermilion
Mirajane Strauss
Mystogan
Juvia Lockser
Alzack Connell
Bickslow
Bisca Mulan
Charles
Droy
Elfman Strauss
Evergreen
Freed Justine
Gajeel Redfox
Gildarts Clive
Goldmine
Happy
Jet
Kana Alberona
Kinana
Laki Olietta
Laxus Dreyar
Levy McGarden
Lisanna Strauss
Loke
Macao Conbolt
Makarov Dreyar
Max Alors
Mest Gryder
Nab Lazaro
Panther Lily
Precht Gaebolg
Reedus Jonah
Rita Dreyar
Rob
Romeo Conbolt
Wakaba Mine
Warren Rocko
Warrod Sequen
Wendy Marvell
Yuri Dreyar
Bob
Eve Tearm
Hibiki Lates
Ichiya Vandalay Kotobuki
Jenny Realight
Karen Lilica
Nichiya
Ren Akatsuki
Ooba Babasaama
Jura Neekis
Lyon Vastia
Sherry Blendy
Sherria Blendy
Yuka Suzuki
Toby Horhorta
Bacchus Glow
Kagura Mikazuchi
Millianna
Beth Vanderwood
Risley Law
Arania Webb
Sting Eucliffe
Yukino Agria
Rogue Cheney
Sorano Agria
Orga Nanagear
Lector
Frosch
Minerva Orland
Jiemma
Dobengal
Rufus Lohr
Erik
Macbeth
Sawyer
Richard Buchanan
Wally Buchanan
Jellal Fernandes
Sho
Simon
Erigor
Brain
Ultear Milkovich
Zancrow
Kain Hikaru
Rustyrose
Meredy
Azuma
Bluenote Stinger
Arcadios
Hisui E. Fiore
Thoma E. Fiore
Layla Heartfilia
Brandish
Dimaria Yesta
Anna Heartfilia
Zeref Dragneel
Acnologia
Igneel
