Inicio
Rachel Karen Greene
Phoebe Buffay-Hannigan
Ross Geller
Monica E. Geller
Chandler Muriel Bing
Joseph Francis Tribbiani Jr.
Ben Geller
Emma Geller-Greene
Marcel
Leonard Greene
Sandra Greene
Amy Greene
Jill Greene
Carol Willick
Susan Bunch
Emily Waltham
Jack Geller
Judy Geller
Janice Litman-Goralnik
Gunther
Nora Tyler Bing
Charles Bing
Ursula Buffay
Michael Hannigan
Frank Buffay Jr.
Mona
David
Janine Lecroix
Julie
Kathy
Paolo
Paul Stevens
Elizabeth Stevens
Tag Jones
Joshua Burgin
Danny
Barry Farber
Chip Matthews
Will Colbert
